month,Avg_Air_tmp,Avg_Water_tmp
1987-12-01,22.243795289855072,25.03939570393375
1988-01-01,20.82380201028518,23.815725806451614
1988-02-01,20.194890054972515,23.306877811094452
1988-03-01,21.40603085553997,22.866088125292194
1988-04-01,23.728351449275362,24.61466183574879
1988-05-01,24.885273492286114,25.906743805516598
1988-06-01,26.945477053140095,27.693659420289855
1988-07-01,28.20167630283154,29.241954589233508
1988-08-01,28.27969373181136,29.45379215282884
1988-09-01,28.156678743961354,28.991394927536234
1988-10-01,26.16706989247312,27.954032258064515
1988-11-01,25.203700043917436,26.453916337285904
1988-12-01,22.029226850755602,24.481763006745474
1989-01-01,23.14658719027583,24.47128915381019
1989-02-01,21.705137163561076,24.03654891304348
1989-03-01,22.365813464235625,23.628944600280505
1989-04-01,24.59430006587615,25.610497913921826
1989-05-01,26.316358536274386,27.192367397679458
1989-06-01,27.305881642512077,28.17143115942029
1989-07-01,28.064474159547792,29.339381189170812
1989-08-01,28.52955714224999,30.18750629921738
1989-09-01,28.419425779534475,30.02280083443127
1989-10-01,25.741129032258065,28.368951612903224
1989-11-01,24.960024154589373,26.374583333333334
1989-12-01,19.882515194015895,23.92390803446203
1990-01-01,23.130715287517532,24.132293127629733
1990-02-01,23.21271350931677,24.496130952380952
1990-03-01,23.057748948106592,24.92649390114327
1990-04-01,23.835396825396824,25.270276444569923
1990-05-01,25.811810425432444,26.711266947171577
1990-06-01,27.483451988832424,28.674580196373675
1990-07-01,28.2846769943474,29.439671150495133
1990-08-01,28.72804464703132,30.224760402057036
1990-09-01,28.484770531400965,29.990090579710145
1990-10-01,27.31312758799172,28.58701259489303
1990-11-01,24.4169384057971,26.298661067193677
1990-12-01,23.37638233669089,25.04907082748948
1991-01-01,23.620961898083216,24.89811881082919
1991-02-01,21.677400362318842,23.84703733766234
1991-03-01,23.186693548387098,24.00009350163628
1991-04-01,25.223647342995168,25.885410628019322
1991-05-01,26.50892940626461,27.308625525946702
1991-06-01,27.80493741765481,28.847555445761966
1991-07-01,28.64444249649369,30.06008064516129
1991-08-01,28.698530460890208,30.18233266850027
1991-09-01,28.273762077294684,29.941702898550723
1991-10-01,26.55241351098644,27.84545932678822
1991-11-01,23.498371761089153,25.840763285024153
1991-12-01,22.98840579710145,24.89005960729313
1992-01-01,20.624044112736257,23.460432111133375
1992-02-01,21.83454409159057,23.42035913861251
1992-03-01,22.198768540949466,23.802354009945173
1992-04-01,22.94781923949803,24.835633241633108
1992-05-01,24.517941957734262,25.731189494923303
1992-06-01,27.280555116381205,28.12338490329909
1992-07-01,28.428827723235155,29.445047069573718
1992-08-01,28.4789281312423,29.624929342513493
1992-09-01,27.958069828722003,29.02594916556873
1992-10-01,26.181749649368864,27.965562178588126
1992-11-01,25.16911231884058,26.688472771190163
1992-12-01,22.838464235624123,25.176273959794297
1993-01-01,23.420730446116142,25.11223277657359
1993-02-01,21.109957298136646,23.39943711180124
1993-03-01,21.71478786816269,22.879733520336607
1993-04-01,23.01471618357488,24.170289855072465
1993-05-01,24.951484338475925,25.56863020102852
1993-06-01,27.428577075098815,28.006437747035573
1993-07-01,28.633461898083215,29.67402407667134
1993-08-01,28.79707807386629,30.3114597942964
1993-09-01,28.511177536231884,29.855778985507246
1993-10-01,27.159215755025713,28.219676250584385
1993-11-01,24.631141304347825,26.555935990338163
1993-12-01,21.612944132772324,24.783894343151005
1994-01-01,21.964089527816736,23.594676250584385
1994-02-01,23.123695152858314,24.715213947811286
1994-03-01,22.987903225806452,24.34206989247312
1994-04-01,25.114583333333332,25.4425
1994-05-01,26.379534298100218,27.45393078753878
1994-06-01,28.151944444444446,28.750138888888888
1994-07-01,28.214352197592028,29.12044384437442
1994-08-01,28.28868523949169,29.538609800671512
1994-09-01,28.12634826526131,29.161993851559068
1994-10-01,26.875391538101916,27.971709911173445
1994-11-01,25.39485781730347,26.718658714473932
1994-12-01,23.023501848782352,25.653736877895362
1995-01-01,20.78351343023503,23.698766415912278
1995-02-01,20.588561076604556,22.616834886128363
1995-03-01,22.90164796633941,24.211196820944366
1995-04-01,24.956837048979498,25.9581829739038
1995-05-01,27.170557361837165,27.706892203946904
1995-06-01,27.585978260869567,28.486497584541063
1995-07-01,28.691555633473584,29.64692613370734
1995-08-01,28.656206171107993,29.3807386629266
1995-09-01,28.520984299516908,29.740295893719807
1995-10-01,27.626963534361852,28.65499649368864
1995-11-01,23.91947032436163,26.372474120082817
1995-12-01,20.90774894810659,24.827495324918186
1996-01-01,20.544568556735456,23.146729947238363
1996-02-01,19.668806505837992,22.292361205760756
1996-03-01,20.717595839177186,22.20992286115007
1996-04-01,23.711694271911664,24.70908557625949
1996-05-01,26.11471482000935,26.750075970079475
1996-06-01,26.947937010772687,28.070224947686583
1996-07-01,28.38398033126294,29.295949792960663
1996-08-01,28.24849897998215,29.580795899125604
1996-09-01,28.370102657004832,29.451533816425123
1996-10-01,26.40401252557634,27.744095432384352
1996-11-01,24.08276570048309,25.99652777777778
1996-12-01,22.369287368778952,24.79175166815419
1997-01-01,21.42965641184435,24.400044701675135
1997-02-01,23.49398880105402,24.436861824769434
1997-03-01,24.381474988312295,25.382398316970548
1997-04-01,24.132131360185706,25.465823765606373
1997-05-01,26.30616936242813,27.308581962684347
1997-06-01,27.630006587615284,28.41691315327185
1997-07-01,28.72997311827957,29.78501395649424
1997-08-01,29.083854526664744,30.74637964497712
1997-09-01,27.86937582345191,29.56411780851998
1997-10-01,26.37405329593268,27.82504728207744
1997-11-01,24.275012077294686,26.090066425120774
